SpeedLimit,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg
30,57,28,31,35,39
0,62,16,26,28,32
0,66,29,27,30,33
0,66,29,27,30,33
25,95,59,30,31,33
25,91,49,30,30,33
35,50,16,35,39,43
35,50,16,35,39,43
35,50,16,35,39,43
35,50,16,35,39,43
35,50,16,35,39,43
35,25,6,32,39,43
35,25,6,32,39,43
35,25,6,32,39,43
35,25,6,32,39,43
35,51,15,35,39,43
35,51,15,35,39,43
35,51,15,35,39,43
35,69,25,37,39,44
35,25,4,32,38,43
0,16,2,20,28,35
0,52,19,24,29,33
0,78,44,28,31,34
0,11,2,20,29,42
0,65,26,26,30,34
0,53,12,25,28,33
0,61,21,25,29,33
0,70,25,26,29,33
0,13,2,18,28,32
25,63,17,26,29,33
25,88,45,29,30,33
0,43,11,22,29,33
0,43,11,22,29,33
0,15,2,19,28,33
0,42,10,23,29,34
0,42,10,23,29,34
0,31,6,22,28,34
0,59,18,25,29,33
0,69,22,26,29,33
0,69,22,26,29,33
0,69,22,26,29,33
0,69,22,26,29,33
0,69,22,26,29,33
30,42,15,29,34,38
0,94,61,31,31,34
0,72,21,27,29,33
0,67,20,26,29,34
0,34,8,22,28,33
30,44,12,29,33,37
30,44,12,29,33,37
30,44,12,29,33,37
30,24,4,26,33,37
30,16,1,26,32,37
30,16,1,26,32,37
30,16,1,26,32,37
30,18,0,25,32,0
30,10,0,24,32,0
